hourly for 1 year,MW/1 MW installed capacity,MW/1 MW installed capacity,MW,MW,MW,MW,MW,NZD/kW,NZD/MW,time
no specific year,Area: 5313 m2,,Per 1000 houses,current electrical load,Fully-electrified load (case x),per 1000 homes,per 1000 homes,price,price,hr
time,solar,wind,residential_base,industrial_base,Industrial_2050,residential_evs,carpark_evs,grid_price_base_cnts,grid_price_base,hour
1056,0,0.7432086672,0.8190416675,0.814242012,4.24894130071429,0.64000000000000012,0,0.1,100,23
1057,0,0.2001988733,0.514208333333334,0.849784222,4.79037325821429,0.64000000000000012,0,0.1,100,0
1058,0,0.2001988733,0.55775,0.788062092,4.3645839095,0.64000000000000012,0,0.1,100,1
1059,0,0,0.521083332916666,0.7562595,3.60669028682143,0.64000000000000012,0,0.1,100,2
1060,0,0,0.503583335833333,0.702758624,2.81264724025,0.64000000000000012,0,0.1,100,3
1061,0,0,0.414499999166666,0.681934334,2.08308556628571,0.64000000000000012,0,0.1,100,4
1062,0.002300139579,0,0.412875,0.74481341,1.556674236275,0.64000000000000012,0,0.1,100,5
1063,0.06676331396,0,0.434791666666667,0.688886418,2.11162787660714,0.64000000000000012,0,0.1,100,6
1064,0.2165465304,0.02306791905,0.40133333375,0.743643766,3.42998595885714,0,0,0.3,300,7
1065,0.3465181293,0.02306791905,0.796833332083333,0.722338666,4.03373695171429,0,0,0.3,300,8
1066,0.4663054432,0.003996972205,1.02841666666667,0.692059584,3.61897261071429,0,0.41142857142857142,0.18,180,9
1067,0.6265036085,0,1.0912499975,0.968756958,4.860096577,0,0.41142857142857142,0.18,180,10
1068,0.7357404745,0.1409909184,0.986916666666666,0.851145742,5.0803837495,0,0.41142857142857142,0.18,180,11
1069,0.8403333495,0.2001988733,0.8388750025,0.956678254,5.377999153,0,0.41142857142857142,0.18,180,12
1070,0.8188075357,0.2001988733,0.841916666666667,1.13775214,5.16773284435714,0,0.41142857142857142,0.18,180,13
1071,0.5508862206,0.02306791905,0.850166666666666,0.987478756,5.66287090021429,0,0.41142857142857142,0.18,180,14
1072,0.5551658707,0,0.910416665833333,1.191964874,6.21610904478571,0,0.41142857142857142,0.18,180,15
1073,0.3607621003,0,0.767166666666667,1.116499492,6.36333412971429,0,0,0.3,300,16
1074,0.1458423593,0.02306791905,0.7377083325,1.230760902,6.76589467157143,0,0,0.3,300,17
1075,0.01445610819,0,1.04491666666667,1.249930656,7.1319905885,0,0,0.3,300,18
1076,0,0.603575805,1.03295833333333,1.260838022,6.98252287328571,0,0,0.3,300,19
1077,0,0.8,1.00333333083333,1.417529218,6.79558639785714,0,0,0.18,180,20
1078,0,0.8,1.083,1.496072826,7.51480147671429,0,0,0.18,180,21
1079,0,0.272232564,0.903,1.448570218,7.30665670871429,0.64000000000000012,0,0.1,100,22
1080,0,0.2001988733,0.770458333333333,1.454924884,7.02392170657143,0.64000000000000012,0,0.1,100,23
1081,0,0.003996972205,0.723750000833334,1.675882948,7.49741946964286,0.64000000000000012,0,0.1,100,0
1082,0,0,0.665416669166667,1.586424344,7.13917088485714,0.64000000000000012,0,0.1,100,1
1083,0,0,0.507916667083333,1.430966822,6.77947769128571,0.64000000000000012,0,0.1,100,2
1084,0,0,0.444,1.365146184,5.82881555228572,0.64000000000000012,0,0.1,100,3
1085,0,0,0.412625,1.438930446,5.9035682735,0.64000000000000012,0,0.1,100,4
1086,0,0,0.4215,1.420689088,6.26528948835714,0.64000000000000012,0,0.1,100,5
1087,0.01221758934,0,0.487791666666667,1.513740712,6.08929943635714,0.64000000000000012,0,0.1,100,6
1088,0.03987739353,0.02306791905,0.529125000833333,1.513974988,6.84446419578571,0,0,0.3,300,7
1089,0.06149717757,0,0.88395833375,1.547607648,7.12418359978571,0,0,0.3,300,8
1090,0.173867921,0.02306791905,1.22516666791667,1.566194254,7.27082173121429,0,0.41142857142857142,0.18,180,9
1091,0.2090019203,0.1409909184,0.98220833375,1.516903656,7.32548695314286,0,0.41142857142857142,0.18,180,10
1092,0.3037791025,0.272232564,0.802791666666667,1.629569608,7.30681970185714,0,0.41142857142857142,0.18,180,11
1093,0.3997615144,0.603575805,0.919041666666666,1.744960704,7.88999400364286,0,0.41142857142857142,0.18,180,12
1094,0.2989524838,0.7432086672,0.767291667916667,1.741479574,7.66532006278572,0,0.41142857142857142,0.18,180,13
1095,0.4858112929,0.7432086672,0.748083334583334,1.529905378,6.59706733371429,0,0.41142857142857142,0.18,180,14
1096,0.5476399269,0.8,0.687791664166667,1.59130059,6.66359680685714,0,0.41142857142857142,0.18,180,15
1097,0.3525714436,0.8,0.744083333333334,1.457076638,6.70973062728572,0,0,0.3,300,16
1098,0.1523659024,0.603575805,0.78025,1.353364014,7.39067050214286,0,0,0.3,300,17
1099,0.03265637479,0.4598068526,1.08537500125,1.34909848,6.37490414985714,0,0,0.3,300,18
1100,0.002299438931,0.4598068526,1.016375,1.262613296,6.56538752885714,0,0,0.3,300,19
1101,0,0.3583494154,1.01208333541667,1.564848606,6.71315548085714,0,0,0.18,180,20
1102,0,0.3583494154,1.01991666583333,1.47846582,6.89839636014286,0,0,0.18,180,21
1103,0,0.272232564,0.93683333375,1.602960474,6.72275636228571,0.64000000000000012,0,0.1,100,22
1104,0,0.2001988733,0.778583333333333,1.461673904,7.59250058985714,0.64000000000000012,0,0.1,100,23
1105,0,0.0560225152,0.52575,1.435191522,7.92604566478572,0.64000000000000012,0,0.1,100,0
1106,0,0.02306791905,0.509208333333334,1.315631732,6.89552403242857,0.64000000000000012,0,0.1,100,1
1107,0,0.02306791905,0.431958333333333,1.321280542,6.98635999957143,0.64000000000000012,0,0.1,100,2
1108,0,0.02306791905,0.442666666666666,1.430046278,6.72586755635714,0.64000000000000012,0,0.1,100,3
1109,0,0,0.399416667916667,1.444586284,6.74598486392857,0.64000000000000012,0,0.1,100,4
1110,0.002297616979,0,0.493083333333333,1.363108566,6.17154364135714,0.64000000000000012,0,0.1,100,5
1111,0.03557162628,0,0.685375,1.443187908,5.98910282364286,0.64000000000000012,0,0.1,100,6
1112,0.178323518,0,0.973458333333334,1.458033222,6.97160622278572,0,0,0.3,300,7
1113,0.3855361758,0,0.8528333325,1.554953528,7.34629801235714,0,0,0.3,300,8
1114,0.5987911195,0,0.584541666666667,1.674039912,7.34309852042857,0,0.41142857142857142,0.18,180,9
1115,0.7339174301,0,0.575791666666666,1.431651786,6.77588527657143,0,0.41142857142857142,0.18,180,10
1116,0.7867732295,0,0.647666666666667,1.508150726,6.64321748971429,0,0.41142857142857142,0.18,180,11
1117,0.8358118058,0.02306791905,0.695583333333333,1.562280468,6.78212380371429,0,0.41142857142857142,0.18,180,12
1118,0.8081859636,0.1409909184,0.668083333333333,1.492769716,6.93997492814286,0,0.41142857142857142,0.18,180,13
1119,0.7194870777,0.1409909184,0.591875,1.495560004,7.14804312128571,0,0.41142857142857142,0.18,180,14
1120,0.5714939844,0.2001988733,0.725166666666667,1.459643618,7.28830905914286,0,0.41142857142857142,0.18,180,15
1121,0.3771733674,0.2001988733,0.870083333333333,1.48397446,6.77389270678571,0,0,0.3,300,16
1122,0.1916526326,0.2001988733,0.7295,1.308410318,6.490783192,0,0,0.3,300,17
1123,0.02717712759,0.2001988733,1.075,1.428365508,6.5441134245,0,0,0.3,300,18
1124,0.004601093383,0.0560225152,1.07658333333333,1.316561902,6.64835820235714,0,0,0.3,300,19
1125,0,0,1.07475,1.560957284,6.87576946357143,0,0,0.18,180,20
1126,0,0,1.004625,1.515412738,7.889334508,0,0,0.18,180,21
1127,0,0,0.884791666666667,1.458986524,7.49257741828572,0.64000000000000012,0,0.1,100,22
1128,0,0,0.689958333333333,1.481946582,7.59568838985714,0.64000000000000012,0,0.1,100,23
1129,0,0,0.5992083325,1.539831322,7.36898385964286,0.64000000000000012,0,0.1,100,0
1130,0,0,0.4375,1.437309934,7.18405999057143,0.64000000000000012,0,0.1,100,1
1131,0,0,0.456041666666667,1.380022586,7.18617783078572,0.64000000000000012,0,0.1,100,2
1132,0,0,0.408874999166667,1.567002148,6.97848898678572,0.64000000000000012,0,0.1,100,3
1133,0,0.003996972205,0.4065,1.447319178,7.24027093692857,0.64000000000000012,0,0.1,100,4
1134,0.002294673013,0.1409909184,0.426375,1.384744928,6.55988291385714,0.64000000000000012,0,0.1,100,5
1135,0.05483896228,0.2001988733,0.57675,1.527477118,6.3796844095,0.64000000000000012,0,0.1,100,6
1136,0.1951455858,0.272232564,0.921041666666667,1.516310062,6.78642040914286,0,0,0.3,300,7
1137,0.3856731975,0.272232564,0.947416666666666,1.408985554,7.12012516171429,0,0,0.3,300,8
1138,0.5669834366,0.7432086672,0.901916666666667,1.376093954,7.30656140707143,0,0.41142857142857142,0.18,180,9
1139,0.6551305302,0.4598068526,0.584666665416666,1.445120426,7.66501565992857,0,0.41142857142857142,0.18,180,10
1140,0.7397166153,0.7432086672,0.571333334166667,1.44540042,6.35417921485714,0,0.41142857142857142,0.18,180,11
1141,0.7705988021,0.272232564,0.540041666666667,1.478936408,6.41288833221429,0,0.41142857142857142,0.18,180,12
1142,0.6962402922,0.3583494154,0.515125000833333,1.488652138,7.10823231671429,0,0.41142857142857142,0.18,180,13
1143,0.6319771419,0.272232564,0.523374997916667,1.49207391,6.377849023,0,0.41142857142857142,0.18,180,14
1144,0.2606937355,0.2001988733,0.576833333333333,1.546684966,6.8017033995,0,0.41142857142857142,0.18,180,15
1145,0.1436619391,0.02306791905,0.597083333333333,1.356596442,6.27495945035714,0,0,0.3,300,16
1146,0.1196915024,0.1409909184,0.598458333333333,1.320315896,6.74942619335714,0,0,0.3,300,17
1147,0.02543688561,0.1409909184,0.995833333333333,1.408066724,6.47406887607143,0,0,0.3,300,18
1148,0.004611739009,0.003996972205,1.132625,1.333425254,7.14407894007143,0,0,0.3,300,19
1149,0,0,1.07908333333333,1.572127536,7.87350476171429,0,0,0.18,180,20
1150,0,0,1.08083333291667,1.464846334,6.99164927935714,0,0,0.18,180,21
1151,0,0.003996972205,0.971583333333333,1.59290422,7.16573837814286,0.64000000000000012,0,0.1,100,22
1152,0,0.02306791905,0.7491249975,1.398147916,7.40092998742857,0.64000000000000012,0,0.1,100,23
1153,0,0.003996972205,0.582541666666667,1.609411296,7.01045586307143,0.64000000000000012,0,0.1,100,0
1154,0,0,0.489750001666667,1.490382852,7.4678111345,0.64000000000000012,0,0.1,100,1
1155,0,0.02306791905,0.497625,1.599842184,7.31305908864286,0.64000000000000012,0,0.1,100,2
1156,0,0.02306791905,0.404208333333334,1.397196294,6.58813409207143,0.64000000000000012,0,0.1,100,3
1157,0,0.003996972205,0.368583333333333,1.33273269,5.58229411071429,0.64000000000000012,0,0.1,100,4
1158,0,0.003996972205,0.4570833325,1.264921576,5.59940333907143,0.64000000000000012,0,0.1,100,5
1159,0.01072464578,0.02306791905,0.614416666666666,1.476967848,5.97468588057143,0.64000000000000012,0,0.1,100,6
1160,0.04534846101,0.0560225152,1.06170833333333,1.52831302,5.94792953914286,0,0,0.3,300,7
1161,0.08174623396,0.4598068526,1.113125,1.23557971,6.67087171528571,0,0,0.3,300,8
1162,0.08800953959,0.3583494154,0.84033333375,1.341639252,6.87489319657143,0,0.41142857142857142,0.18,180,9
1163,0.08336005781,0.7432086672,0.738166667083333,1.230508004,6.6100702695,0,0.41142857142857142,0.18,180,10
1164,0.1012897077,0.8,0.529333333333333,1.36287574,6.68582518264286,0,0.41142857142857142,0.18,180,11
1165,0.2048920293,0.8,0.52237500125,1.408765552,6.59764260707143,0,0.41142857142857142,0.18,180,12
1166,0.1658305284,0.8,0.514708333333333,1.304284386,6.80471333857143,0,0.41142857142857142,0.18,180,13
1167,0.1307973773,0.8,0.626666666666667,1.390423866,6.61909177078572,0,0.41142857142857142,0.18,180,14
1168,0.1307697789,0.8,0.534041664166666,1.349640034,6.31038448635714,0,0.41142857142857142,0.18,180,15
1169,0.1026693055,0.8,0.5789583325,1.21572807,6.49526765321429,0,0,0.3,300,16
1170,0.01923487559,0.8,0.786833333333333,1.469018032,6.83423238914286,0,0,0.3,300,17
1171,0.01068723742,0.8,1.06279166791667,1.341790154,6.17917703957143,0,0,0.3,300,18
1172,0,0.8,0.778666666666666,1.22343446,6.71233628664286,0,0,0.3,300,19
1173,0,0.7432086672,1.021375,1.34680112,7.28880260828571,0,0,0.18,180,20
1174,0,0.7432086672,1.01666666666667,1.387043412,7.22829033471429,0,0,0.18,180,21
1175,0,0.603575805,0.778666666666667,1.370108848,7.44627253407143,0.64000000000000012,0,0.1,100,22
1176,0,0.603575805,0.620333333333333,1.321567852,7.15043649978571,0.64000000000000012,0,0.1,100,23
1177,0,0.8,0.515583333333334,1.229039682,6.87474137707143,0.64000000000000012,0,0.1,100,0
1178,0,0.7432086672,0.44099999875,1.210583072,6.72194608578571,0.64000000000000012,0,0.1,100,1
1179,0,0.7432086672,0.4745000025,1.16066871,6.976700925,0.64000000000000012,0,0.1,100,2
1180,0,0.7432086672,0.423416667083334,1.082769704,6.78525301792857,0.64000000000000012,0,0.1,100,3
1181,0,0.603575805,0.380833334166667,0.96436048,6.31547536707143,0.64000000000000012,0,0.1,100,4
1182,0.002306722887,0.4598068526,0.5014166675,0.99375576,5.84597934535714,0.64000000000000012,0,0.1,100,5
1183,0.02136779015,0.4598068526,0.5570416675,1.279210038,6.37663480814286,0.64000000000000012,0,0.1,100,6
1184,0.09002293455,0.7432086672,0.948875,1.326327372,6.5888261355,0,0,0.3,300,7
1185,0.08490385222,0.7432086672,0.958625,1.286468144,7.15894738135714,0,0,0.3,300,8
1186,0.1721068332,0.603575805,0.678125,1.274875736,7.36522870064286,0,0.41142857142857142,0.18,180,9
1187,0.140072927,0.603575805,0.607541666666667,1.096356496,7.00229980257143,0,0.41142857142857142,0.18,180,10
1188,0.1159778612,0.7432086672,0.752625,1.228798248,7.24933790192857,0,0.41142857142857142,0.18,180,11
1189,0.1659025405,0.603575805,0.520041666666667,1.368309658,6.97233624728572,0,0.41142857142857142,0.18,180,12
1190,0.1066145586,0.7432086672,0.588791666666667,1.335537628,7.63148184442857,0,0.41142857142857142,0.18,180,13
1191,0.0686484747,0.8,0.671916666666667,1.406829028,7.74385854407143,0,0.41142857142857142,0.18,180,14
1192,0.02538854402,0.8,0.601833333333333,1.436887282,7.46096056735714,0,0.41142857142857142,0.18,180,15
1193,0.01460185453,0.8,0.637374999166666,1.288410326,6.31686276957143,0,0,0.3,300,16
1194,0.008443543188,0.7432086672,0.7670833375,1.267433606,6.17691600028571,0,0,0.3,300,17
1195,0.00611143549,0.603575805,0.857375,1.19259788,5.05809624714286,0,0,0.3,300,18
1196,0,0.3583494154,0.783625,1.1906163,4.177193784,0,0,0.3,300,19
1197,0,0.272232564,0.901208334166667,1.18796754,3.29562414085714,0,0,0.18,180,20
1198,0,0.2001988733,1.05770833333333,1.210576404,5.39063408442857,0,0,0.18,180,21
1199,0,0.0560225152,1.02875,1.172266464,6.53302865242857,0.64000000000000012,0,0.1,100,22
1200,0,0.003996972205,0.819666666666666,1.252406472,5.82751225035714,0.64000000000000012,0,0.1,100,23
1201,0,0,0.552583330833334,1.25202812,6.34047529821429,0.64000000000000012,0,0.1,100,0
1202,0,0.02306791905,0.509791666666667,1.23416686,6.09848483035714,0.64000000000000012,0,0.1,100,1
1203,0,0.02306791905,0.491791666666667,1.135903568,5.98276739907143,0.64000000000000012,0,0.1,100,2
1204,0,0.003996972205,0.49575,1.10604492,5.81480377142857,0.64000000000000012,0,0.1,100,3
1205,0,0,0.406625,1.138287808,5.61778762164286,0.64000000000000012,0,0.1,100,4
1206,0,0,0.456083334166667,1.195526806,5.68704279732143,0.64000000000000012,0,0.1,100,5
1207,0.02356289021,0,0.693083333333333,1.257641284,5.57407140778571,0.64000000000000012,0,0.1,100,6
1208,0.07901946784,0,1.01525,1.09202012,5.23802196714286,0,0,0.3,300,7
1209,0.2002512324,0,0.914041667083333,1.15857276,5.74155094507143,0,0,0.3,300,8
1210,0.5079488896,0.02306791905,0.661833332083334,1.081521586,5.51865898664286,0,0.41142857142857142,0.18,180,9
1211,0.4539263579,0.1409909184,0.666083334166667,1.20283121,5.05805686371429,0,0.41142857142857142,0.18,180,10
1212,0.2524787404,0.3583494154,0.624291666666667,1.185517194,5.1577276225,0,0.41142857142857142,0.18,180,11
1213,0.3066014392,0.2001988733,0.525708334583334,1.12329137,5.28589764539286,0,0.41142857142857142,0.18,180,12
1214,0.5213169159,0.3583494154,0.541583330833333,1.182608454,5.35585799178571,0,0.41142857142857142,0.18,180,13
1215,0.3313329289,0.3583494154,0.523625,0.986837148,4.68103625928571,0,0.41142857142857142,0.18,180,14
1216,0.3884427452,0.1409909184,0.582374999166666,1.132151304,5.08774218478572,0,0.41142857142857142,0.18,180,15
1217,0.1606011551,0.1409909184,0.761458333333333,1.09021053,4.90475729807143,0,0,0.3,300,16
1218,0.05134213916,0.1409909184,0.801458330833333,1.163426612,5.17596569135714,0,0,0.3,300,17
1219,0.01289720809,0.02306791905,0.953291667083333,1.051632284,5.34596357760714,0,0,0.3,300,18
1220,0,0.003996972205,0.85225,0.95101047,4.8757484685,0,0,0.3,300,19
1221,0,0,0.975916669583334,0.93699638,5.50711661960714,0,0,0.18,180,20
1222,0,0,1.07120833333333,1.056562478,5.57068147221429,0,0,0.18,180,21
1223,0,0,0.891333333333333,0.923814282,4.85294032078571,0.64000000000000012,0,0.1,100,22
1224,0,0,0.928666667083334,0.811490618,2.9715118605,0.64000000000000012,0,0.1,100,23
1225,0,0,0.650791667916667,0.871677868,2.74483624307143,0.64000000000000012,0,0.1,100,0
1226,0,0,0.486208333333333,0.752029964,1.89086228707143,0.64000000000000012,0,0.1,100,1
1227,0,0,0.477375000833333,0.542791834,1.09215752561429,0.64000000000000012,0,0.1,100,2
1228,0,0,0.430625,0.552365576,1.12754517035714,0.64000000000000012,0,0.1,100,3
1229,0,0,0.489166665833334,0.601904346,0.919852759928571,0.64000000000000012,0,0.1,100,4
1230,0,0,0.411208333333333,0.740299718,1.28396584496429,0.64000000000000012,0,0.1,100,5
1231,0.01445150851,0,0.4165,0.790784542,2.02604556264286,0.64000000000000012,0,0.1,100,6
1232,0.06430872334,0,0.4501666675,0.671684824,3.53875926807143,0,0,0.3,300,7
1233,0.1392676146,0.02306791905,0.834125,0.65814835,3.84058947878571,0,0,0.3,300,8
1234,0.4032836948,0.0560225152,0.886708334583333,0.856154072,3.83152806035714,0,0.41142857142857142,0.18,180,9
1235,0.4685555873,0.09335127401,0.92725,0.778732218,3.15957557014286,0,0.41142857142857142,0.18,180,10
1236,0.4047055365,0.0560225152,0.90420833375,0.85466372,3.18931501321429,0,0.41142857142857142,0.18,180,11
1237,0.5461757542,0.4598068526,0.975666666666667,1.036965912,3.84435101742857,0,0.41142857142857142,0.18,180,12
1238,0.8150049413,0.603575805,0.864208333333333,0.89646574,3.50664138242857,0,0.41142857142857142,0.18,180,13
1239,0.5307663166,0.4598068526,0.944666664166666,0.68268446,3.8095693375,0,0.41142857142857142,0.18,180,14
1240,0.3880214835,0.8,0.895458333333333,1.000793738,4.13350070335714,0,0.41142857142857142,0.18,180,15
1241,0.3888088558,0.4598068526,0.819125,1.028179024,5.42592963721429,0,0,0.3,300,16
1242,0.1947591967,0.603575805,0.918833332083334,1.15033488,5.09271197621429,0,0,0.3,300,17
1243,0.01731819888,0.603575805,0.815750000416667,1.316396064,5.35288368607143,0,0,0.3,300,18
1244,0.002297056301,0.272232564,0.9279583325,1.19512044,5.28384027421429,0,0,0.3,300,19
1245,0,0.272232564,0.849916670833333,1.339018898,4.62748793135714,0,0,0.18,180,20
1246,0,0.2001988733,0.948999999166667,1.27721766,4.949513063,0,0,0.18,180,21
1247,0,0.02306791905,0.931625005416667,1.38435458,5.41373804692857,0.64000000000000012,0,0.1,100,22
1248,0,0,0.803166666666667,1.39459114,5.50867988071429,0.64000000000000012,0,0.1,100,23
1249,0,0,0.65295833375,1.363431642,6.39430966135714,0.64000000000000012,0,0.1,100,0
1250,0,0,0.54575,1.440546912,6.79338051771429,0.64000000000000012,0,0.1,100,1
1251,0,0,0.430375,1.4811004,7.450475099,0.64000000000000012,0,0.1,100,2
1252,0,0.003996972205,0.458708333333333,1.463879464,7.06816569821429,0.64000000000000012,0,0.1,100,3
1253,0,0,0.435541665833333,1.43635704,6.57306601135714,0.64000000000000012,0,0.1,100,4
1254,0,0,0.428416666666666,1.452223598,6.90970723892857,0.64000000000000012,0,0.1,100,5
1255,0.0481389433,0,0.542625000416666,1.468365882,6.05298535721429,0.64000000000000012,0,0.1,100,6
1256,0.188090038,0.02306791905,0.601375000416667,1.58282208,6.12360846792857,0,0,0.3,300,7
1257,0.3632881082,0.1409909184,0.732916666666666,1.54147164,7.17261231435714,0,0,0.3,300,8
1258,0.5451998726,0,0.847999999166667,1.60978576,7.49122694857143,0,0.41142857142857142,0.18,180,9
1259,0.67905612,0.0560225152,0.7385,1.371442962,6.8181269275,0,0.41142857142857142,0.18,180,10
1260,0.7690668452,0.603575805,0.764125001666667,1.5433052,6.74647228914286,0,0.41142857142857142,0.18,180,11
1261,0.8237748777,0.8,0.699166666666667,1.465588242,7.23974761521429,0,0.41142857142857142,0.18,180,12
1262,0.7926910127,0.8,0.649583333333333,1.326259528,6.49535318807143,0,0.41142857142857142,0.18,180,13
1263,0.6217340001,0.8,0.93475,1.565198286,6.52049265314286,0,0.41142857142857142,0.18,180,14
1264,0.4194582248,0.8,0.991125,1.45090796,7.30449601285714,0,0.41142857142857142,0.18,180,15
1265,0.2284558387,0.8,0.878458333333333,1.365843558,6.96528411342857,0,0,0.3,300,16
1266,0.09101819359,0.8,0.898583333333333,1.178501022,5.80862173271429,0,0,0.3,300,17
1267,0.01663257636,0.8,1.03891666916667,1.159644278,5.14864826321429,0,0,0.3,300,18
1268,0,0.603575805,1.08975,1.029862778,5.10668244271429,0,0,0.3,300,19
1269,0,0.4598068526,1.038499995,1.199417736,5.37378380185714,0,0,0.18,180,20
1270,0,0.2001988733,0.992291666666667,1.28547825,5.69329757107143,0,0,0.18,180,21
1271,0,0.0560225152,0.845708334583333,1.221254282,6.60127835735714,0.64000000000000012,0,0.1,100,22
1272,0,0.02306791905,0.691458334166666,1.23763024,5.14283458292857,0.64000000000000012,0,0.1,100,23
1273,0,0.02306791905,0.567416666666667,1.134977368,5.80082362107143,0.64000000000000012,0,0.1,100,0
1274,0,0,0.5155,1.222940838,6.03809099078571,0.64000000000000012,0,0.1,100,1
1275,0,0,0.420166666666667,1.203908352,6.31577879092857,0.64000000000000012,0,0.1,100,2
1276,0,0,0.4922916675,1.142458748,5.50903857321429,0.64000000000000012,0,0.1,100,3
1277,0,0,0.518291665833333,1.201310006,5.98641411014286,0.64000000000000012,0,0.1,100,4
1278,0,0,0.493000000416667,1.324179524,5.93865787685714,0.64000000000000012,0,0.1,100,5
1279,0.01447510396,0.3583494154,0.598125,1.472102434,6.38052604114286,0.64000000000000012,0,0.1,100,6
1280,0.04674603541,0.8,1.01179166583333,1.552729698,6.6266730755,0,0,0.3,300,7
1281,0.05985707475,0.1409909184,0.995291666666667,1.347164142,7.28975765664286,0,0,0.3,300,8
1282,0.1216479256,0.09335127401,0.853541666666666,1.518202408,6.86427362278572,0,0.41142857142857142,0.18,180,9
1283,0.1627235409,0.8,0.73325,1.186017916,6.69278055757143,0,0.41142857142857142,0.18,180,10
1284,0.2235961486,0.8,0.510333332083334,1.475135946,6.7779735265,0,0.41142857142857142,0.18,180,11
1285,0.2040874219,0.8,0.534833333333333,1.523260396,7.25060349257143,0,0.41142857142857142,0.18,180,12
1286,0.2064983708,0.8,0.558583333333333,1.420482806,6.48820537207143,0,0.41142857142857142,0.18,180,13
1287,0.6612904507,0.8,0.541041666666666,1.363770022,7.61632392842857,0,0.41142857142857142,0.18,180,14
1288,0.4036834567,0.8,0.601333333333333,1.515642002,7.00000654435714,0,0.41142857142857142,0.18,180,15
1289,0.214412835,0.8,0.82220833625,1.560927714,7.22978311578572,0,0,0.3,300,16
1290,0.08938218001,0.7432086672,0.821583333333334,1.444838962,6.70830944207143,0,0,0.3,300,17
1291,0.0308428049,0.272232564,1.02974999833333,1.431915472,5.8129180205,0,0,0.3,300,18
1292,0.002296075027,0.02306791905,1.01362500041667,1.30547879,6.14061306757143,0,0,0.3,300,19
1293,0,0,1.162,1.41549474,5.98396338792857,0,0,0.18,180,20
1294,0,0,1.18491666791667,1.456008814,6.86602445792857,0,0,0.18,180,21
1295,0,0.003996972205,0.9684583325,1.364467232,5.98745159328572,0.64000000000000012,0,0.1,100,22
1296,0,0,0.683375,1.480083206,5.92192968392857,0.64000000000000012,0,0.1,100,23
1297,0,0.003996972205,0.602,1.499819858,7.22853704764286,0.64000000000000012,0,0.1,100,0
1298,0,0,0.487416666666667,1.324210716,6.00633644785714,0.64000000000000012,0,0.1,100,1
1299,0,0,0.4565,1.191032726,6.67558509564286,0.64000000000000012,0,0.1,100,2
1300,0,0,0.425916666666667,1.135924916,6.74195998171429,0.64000000000000012,0,0.1,100,3
1301,0,0,0.547666665416667,1.243154888,5.834559437,0.64000000000000012,0,0.1,100,4
1302,0,0,0.42120833375,1.124357018,6.06851307678571,0.64000000000000012,0,0.1,100,5
1303,0.01066593108,0,0.687458334583333,1.318115808,7.12406289264286,0.64000000000000012,0,0.1,100,6
1304,0.04674556212,0,1.11166666166667,1.2381751,6.64776529928572,0,0,0.3,300,7
1305,0.3285694431,0,1.12729166666667,1.241497448,6.23483448857143,0,0,0.3,300,8
1306,0.5094405505,0,0.798,1.24173008,7.07391703392857,0,0.41142857142857142,0.18,180,9
1307,0.6893232419,0,0.5979583325,1.367200662,7.58926378557143,0,0.41142857142857142,0.18,180,10
1308,0.7851342513,0,0.451833333333333,1.48799261,6.11374613307143,0,0.41142857142857142,0.18,180,11
1309,0.846838871,0.0560225152,0.471708333333333,1.365029194,6.19706870528571,0,0.41142857142857142,0.18,180,12
1310,0.8182830096,0.02306791905,0.526291666666667,1.266573062,7.35727899585714,0,0.41142857142857142,0.18,180,13
1311,0.6531543692,0.1409909184,0.424916665,1.282431776,7.42705319028572,0,0.41142857142857142,0.18,180,14
1312,0.4674452809,0.3583494154,0.541375000416667,1.383592546,7.19432913128571,0,0.41142857142857142,0.18,180,15
1313,0.280677167,0.4598068526,0.570958334583333,1.323741756,7.09915947235714,0,0,0.3,300,16
1314,0.2033403884,0.603575805,0.812916666666667,1.416869792,6.40572103442857,0,0,0.3,300,17
1315,0.01548852758,0.2001988733,1.11325,1.232047718,5.81272362885714,0,0,0.3,300,18
1316,0,0.1409909184,1.08179166666667,1.236801952,6.38400116164286,0,0,0.3,300,19
1317,0,0.0560225152,0.999375000833334,1.25388888,5.37026151657143,0,0,0.18,180,20
1318,0,0,1.01058333333333,1.19445624,5.04836763232143,0,0,0.18,180,21
1319,0,0,0.925,1.16687216,5.04710736064286,0.64000000000000012,0,0.1,100,22
1320,0,0,0.648083337083333,1.185415568,4.88136259521429,0.64000000000000012,0,0.1,100,23
1321,0,0,0.539500000416667,1.29648059,5.08312455557143,0.64000000000000012,0,0.1,100,0
1322,0,0,0.526958333333334,1.325181868,7.22404122657143,0.64000000000000012,0,0.1,100,1
1323,0,0,0.518291668333333,1.229836516,6.471520471,0.64000000000000012,0,0.1,100,2
1324,0,0,0.483166666666667,1.244556096,6.24904500335714,0.64000000000000012,0,0.1,100,3
1325,0,0,0.459499998333333,1.304961624,6.01211763021429,0.64000000000000012,0,0.1,100,4
1326,0,0.003996972205,0.415250000416666,1.486559182,6.07145186064286,0.64000000000000012,0,0.1,100,5
1327,0.04296911747,0.02306791905,0.6424166675,1.471441926,6.93359254407143,0.64000000000000012,0,0.1,100,6
1328,0.184194214,0.09335127401,1.03075,1.280910078,6.36496582535714,0,0,0.3,300,7
