hourly for 1 year,MW/1 MW installed capacity,MW/1 MW installed capacity,MW,MW,MW,MW,MW,NZD/kW,NZD/MW,time
no specific year,Area: 5313 m2,,Per 1000 houses,current electrical load,Fully-electrified load (case x),per 1000 homes,per 1000 homes,price,price,hr
time,solar,wind,residential_base,industrial_base,Industrial_2050,residential_evs,carpark_evs,grid_price_base_cnts,grid_price_base,hour
42,0.203010726,0.8,0.70275,0.1811902,0.427898425370443,0,0,0.3,300,17
43,0.05350032223,0.8,0.922916666666667,0.30501592,0.947626129191871,0,0,0.3,300,18
44,0.03384297198,0.8,1.0200416625,0.16249968,0.591633329191871,0,0,0.3,300,19
45,0,0.8,0.807666665416666,0.14891188,0.6867245052633,0,0,0.18,180,20
46,0,0.7432086672,0.828958333333333,0.1589808,0.504664521334729,0,0,0.18,180,21
47,0,0.603575805,0.889041666666667,0.22643076,0.568472922812143,0.64000000000000012,0,0.1,100,22
48,0,0.603575805,0.896999999166667,0.19708352,0.671093010883571,0.64000000000000012,0,0.1,100,23
49,0,0.4598068526,0.664291666666667,0.22780916,0.521333922812143,0.64000000000000012,0,0.1,100,0
50,0,0.3583494154,0.632041667916666,0.18008352,0.524066378812143,0.64000000000000012,0,0.1,100,1
51,0,0.8,0.495666666666667,0.15177536,0.750948728722572,0.64000000000000012,0,0.1,100,2
52,0,0.8,0.463416666666666,0.2708794,0.413247680181714,0.64000000000000012,0,0.1,100,3
53,0,0.3583494154,0.457916666666667,0.176206398,0.601174765427,0.64000000000000012,0,0.1,100,4
54,0.008375505763,0.3583494154,0.407416667083333,0.199755118,0.350343820957143,0.64000000000000012,0,0.1,100,5
55,0.03584209644,0.09335127401,0.390041667083333,0.223065918,0.522106850795714,0.64000000000000012,0,0.1,100,6
56,0.2607709568,0.0560225152,0.506166666666667,0.156533396,0.365320950777143,0,0,0.3,300,7
57,0.4472909974,0.1409909184,0.66779166625,0.211564556,0.386618750165714,0,0,0.3,300,8
58,0.5627410435,0.603575805,0.645166666666667,0.247359994,0.543936507482857,0,0.41142857142857142,0.18,180,9
59,0.7286040077,0.8,0.972291666666667,0.134953834,0.8189280188,0,0.41142857142857142,0.18,180,10
60,0.5605568037,0.8,1.05479166666667,0.204726832,0.67618379071,0,0.41142857142857142,0.18,180,11
61,0.8216201858,0.8,0.78220833125,0.212379592,0.51619516617,0,0.41142857142857142,0.18,180,12
62,0.8044951484,0.8,0.683,0.229963432,0.432121285625714,0,0.41142857142857142,0.18,180,13
63,0.4571126858,0.8,0.634958334166667,0.25480535,0.7473260748,0,0.41142857142857142,0.18,180,14
64,0.2203956224,0.8,0.804791664166667,0.34438919,0.77964836871,0,0.41142857142857142,0.18,180,15
65,0.370429493,0.8,0.772875,0.39604195,0.667780969755714,0,0,0.3,300,16
66,0.1983308469,0.8,0.718958330833334,0.38924343,0.999862720894286,0,0,0.3,300,17
67,0.06689995009,0.4598068526,0.933125,0.250277146,0.788349156425714,0,0,0.3,300,18
68,0.01228005682,0.1409909184,0.803500000416667,0.256382506,0.655923572024286,0,0,0.3,300,19
69,0,0,0.704124999583333,0.267485226,0.618007196748571,0,0,0.18,180,20
70,0,0,0.869916666666667,0.393431184,0.436581658272857,0,0,0.18,180,21
71,0,0,0.815458333333334,0.319015024,0.734037601382857,0.64000000000000012,0,0.1,100,22
72,0,0,1.000375,0.32049606,0.746421284771429,0.64000000000000012,0,0.1,100,23
73,0,0,0.735458329166667,0.32642846,0.360071231395,0.64000000000000012,0,0.1,100,0
74,0,0,0.573124999166667,0.306687858,0.770423612715714,0.64000000000000012,0,0.1,100,1
75,0,0,0.515458333333333,0.415066258,0.588896780104286,0.64000000000000012,0,0.1,100,2
76,0,0,0.416625,0.305662738,0.655355067417143,0.64000000000000012,0,0.1,100,3
77,0,0,0.412041666666666,0.315575256,0.515092464877143,0.64000000000000012,0,0.1,100,4
78,0.03028534993,0.003996972205,0.41895833375,0.318990096,0.673021456194286,0.64000000000000012,0,0.1,100,5
79,0.1219999286,0,0.464875,0.346821096,0.383537646246429,0.64000000000000012,0,0.1,100,6
80,0.2845810997,0,0.574916666666667,0.359780696,1.0941664438,0,0,0.3,300,7
81,0.4382113295,0,0.554333332916667,0.313418134,0.916795887852857,0,0,0.3,300,8
82,0.5724144261,0,0.733791666666667,0.290968174,0.987486953228572,0,0.41142857142857142,0.18,180,9
83,0.3015274201,0,0.759708333333333,0.356451934,0.964682275757143,0,0.41142857142857142,0.18,180,10
84,0.3884459953,0.003996972205,0.609416665416667,0.294267692,0.634182767207143,0,0.41142857142857142,0.18,180,11
85,0.5683794035,0.272232564,0.7175416675,0.343859452,1.03388786865714,0,0.41142857142857142,0.18,180,12
86,0.5502316712,0.272232564,0.787541666666666,0.434025372,1.31970941734286,0,0.41142857142857142,0.18,180,13
87,0.4997322293,0.3583494154,0.597291666666667,0.55082657,1.19841931981429,0,0.41142857142857142,0.18,180,14
88,0.5609652597,0.7432086672,0.663583333333334,0.341336688,0.691423048151429,0,0.41142857142857142,0.18,180,15
89,0.2023164735,0.8,0.75395833125,0.374917648,0.848861054131429,0,0,0.3,300,16
90,0.1859579121,0.8,0.837458330833333,0.346428608,0.879290366311428,0,0,0.3,300,17
91,0.06318183837,0.8,0.90549999875,0.364038726,0.515280844852857,0,0,0.3,300,18
92,0.01914872363,0.7432086672,0.988958332083334,0.396529686,0.837632980818571,0,0,0.3,300,19
93,0,0.3583494154,0.8745,0.426950646,0.694088773324286,0,0,0.18,180,20
94,0,0.3583494154,0.960291666666666,0.413661606,0.815405229468571,0,0,0.18,180,21
95,0,0.272232564,1.00604166666667,0.442351724,0.825625693127143,0.64000000000000012,0,0.1,100,22
96,0,0.1409909184,0.931041667083334,0.564792684,0.700357514092143,0.64000000000000012,0,0.1,100,23
97,0,0.09335127401,0.74375,0.476715084,1.11317525885571,0.64000000000000012,0,0.1,100,0
98,0,0.02306791905,0.566333333333334,0.356807284,0.719345433302857,0.64000000000000012,0,0.1,100,1
99,0,0,0.501708332083333,0.388509162,1.2885760468,0.64000000000000012,0,0.1,100,2
100,0,0.003996972205,0.438791666666667,0.49573992,1.25409194044429,0.64000000000000012,0,0.1,100,3
101,0.002297336644,0.003996972205,0.430416666666667,0.520343038,1.15254981844429,0.64000000000000012,0,0.1,100,4
102,0.03048661604,0,0.447125000416667,0.437700716,2.87601520942857,0.64000000000000012,0,0.1,100,5
103,0.1157279087,0.02306791905,0.505541666666667,0.747771306,3.05320814678571,0.64000000000000012,0,0.1,100,6
104,0.2891749713,0,0.58525,0.708884942,2.55196963092857,0,0,0.3,300,7
105,0.4687454866,0.02306791905,0.687708333333334,0.7587906,2.91420729807143,0,0,0.3,300,8
106,0.6849571885,0.003996972205,0.566625,0.636628344,4.23966635464286,0,0.41142857142857142,0.18,180,9
107,0.7549565619,0,0.888083333333333,0.708104376,3.67563463628571,0,0.41142857142857142,0.18,180,10
108,0.8300052476,0,0.762166667916666,0.593709416,3.81488821392857,0,0.41142857142857142,0.18,180,11
109,0.8294814803,0.0560225152,0.669541666666667,0.965223562,4.20201630107143,0,0.41142857142857142,0.18,180,12
110,0.762856133,0.2001988733,0.7505,1.056448272,4.59958383171429,0,0.41142857142857142,0.18,180,13
111,0.44659231,0.272232564,0.800291666666666,1.090245512,5.30055896314286,0,0.41142857142857142,0.18,180,14
112,0.1754080752,0.4598068526,0.7699583325,1.16765854,4.61732043507143,0,0.41142857142857142,0.18,180,15
113,0.1234561725,0.603575805,0.779125,1.091428898,5.1633931035,0,0,0.3,300,16
114,0.08686603208,0.603575805,0.76345833375,1.132558184,6.078225322,0,0,0.3,300,17
115,0.05308081994,0.3583494154,0.789250000833333,1.261024146,6.18875551928572,0,0,0.3,300,18
116,0.02299179536,0.1409909184,1.03291666791667,1.276641836,6.06465743592857,0,0,0.3,300,19
117,0,0.2001988733,0.812250000833334,1.312263762,6.28788531957143,0,0,0.18,180,20
118,0,0.2001988733,0.915833333333333,1.257488498,5.39599815321429,0,0,0.18,180,21
119,0,0.1409909184,0.9621250025,1.448563328,5.9579587715,0.64000000000000012,0,0.1,100,22
120,0,0.003996972205,0.735999999166667,1.503082062,7.66069879735714,0.64000000000000012,0,0.1,100,23
121,0,0.003996972205,0.614291666666667,1.410841418,6.60415330657143,0.64000000000000012,0,0.1,100,0
122,0,0,0.521458334583333,1.327596164,7.01870706971429,0.64000000000000012,0,0.1,100,1
123,0,0.003996972205,0.482083333333333,1.419978982,5.60741688328571,0.64000000000000012,0,0.1,100,2
124,0,0,0.414666669166666,1.306635114,5.41189277135714,0.64000000000000012,0,0.1,100,3
125,0,0,0.40725,1.313737458,5.69251789742857,0.64000000000000012,0,0.1,100,4
126,0.008357444131,0,0.368291666666666,1.407075256,5.56171384492857,0.64000000000000012,0,0.1,100,5
127,0.0870588874,0,0.48933333375,1.42687125,6.23287827264286,0.64000000000000012,0,0.1,100,6
128,0.1146248645,0,0.739374997916666,1.400815212,7.17112812442857,0,0,0.3,300,7
129,0.3915671091,0,0.7275,1.382884416,7.28477010528572,0,0,0.3,300,8
130,0.4360079247,0,0.621333333333333,1.404750372,7.34670558771429,0,0.41142857142857142,0.18,180,9
131,0.6822775387,0,0.591041667083333,1.517352008,7.53540768942857,0,0.41142857142857142,0.18,180,10
132,0.8055343723,0.09335127401,0.590958333333334,1.670214808,6.94612026228571,0,0.41142857142857142,0.18,180,11
133,0.8266271967,0.2001988733,0.624916665833333,1.567814496,6.64555858207143,0,0.41142857142857142,0.18,180,12
134,0.7921469273,0.272232564,0.575541666666667,1.392787938,6.54038717407143,0,0.41142857142857142,0.18,180,13
135,0.6998721437,0.3583494154,0.592916666666666,1.718161148,6.96844821621429,0,0.41142857142857142,0.18,180,14
136,0.5700576182,0.4598068526,0.560666666666666,1.503808566,7.04482803157143,0,0.41142857142857142,0.18,180,15
137,0.3992407518,0.603575805,0.654208333333333,1.418905196,7.32099878314286,0,0,0.3,300,16
138,0.2059664381,0.272232564,0.65329166625,1.552481888,7.2708724205,0,0,0.3,300,17
139,0.05647691417,0.0560225152,0.767416666666666,1.454561062,6.45517678714286,0,0,0.3,300,18
140,0.02992342646,0.02306791905,0.865208333333333,1.360293538,6.71796487228571,0,0,0.3,300,19
141,0,0.003996972205,0.910541666666667,1.353187754,7.20131881028572,0,0,0.18,180,20
142,0,0,1.00033333333333,1.411765042,6.523690482,0,0,0.18,180,21
143,0,0,0.96425,1.576371972,7.34968710557143,0.64000000000000012,0,0.1,100,22
144,0,0,0.877500005,1.435558168,6.67347712707143,0.64000000000000012,0,0.1,100,23
145,0,0,0.577541666666667,1.593290176,6.96870944771429,0.64000000000000012,0,0.1,100,0
146,0,0,0.513958333333334,1.365095092,6.95591206821429,0.64000000000000012,0,0.1,100,1
147,0,0,0.457416666666666,1.28728022,6.81474870378572,0.64000000000000012,0,0.1,100,2
148,0,0,0.479375000416666,1.531904806,6.17532480285714,0.64000000000000012,0,0.1,100,3
149,0,0,0.387083333333334,1.361351526,5.59651055542857,0.64000000000000012,0,0.1,100,4
150,0.02926493291,0,0.414291666666667,1.322662456,5.92299780285714,0.64000000000000012,0,0.1,100,5
151,0.1135188827,0.003996972205,0.516999999166666,1.502662666,6.5083138535,0.64000000000000012,0,0.1,100,6
152,0.2837819741,0,0.614416670833333,1.451824054,6.52590481364286,0,0,0.3,300,7
153,0.4455594854,0.003996972205,0.855791661666667,1.423706474,7.28283793578571,0,0,0.3,300,8
154,0.5390314596,0.8,0.702083333333333,1.509667518,6.78555315978572,0,0.41142857142857142,0.18,180,9
155,0.749168677,0.8,0.68,1.373674616,7.0007136165,0,0.41142857142857142,0.18,180,10
156,0.6104902333,0.8,0.589583333333334,1.434673668,7.05782111057143,0,0.41142857142857142,0.18,180,11
157,0.8008467765,0.8,0.647291666666666,1.488322376,7.00966754564286,0,0.41142857142857142,0.18,180,12
158,0.6493896537,0.8,0.646625001666666,1.46194036,6.35909427021429,0,0.41142857142857142,0.18,180,13
159,0.4227950524,0.8,0.742708333333334,1.400789712,6.04812525157143,0,0.41142857142857142,0.18,180,14
160,0.524939195,0.8,0.646041666666667,1.316310456,6.7670025085,0,0.41142857142857142,0.18,180,15
161,0.3959914604,0.8,0.739791665833333,1.429334456,6.08836292071429,0,0,0.3,300,16
162,0.2030068373,0.8,0.971583334583334,1.49049241,6.67251179107143,0,0,0.3,300,17
163,0.06777276544,0.8,1.0205,1.372848904,6.07207163457143,0,0,0.3,300,18
164,0.01458691944,0.272232564,0.994625,1.259803902,6.25925408971429,0,0,0.3,300,19
165,0,0.272232564,0.911833333333333,1.377534382,6.11594798785714,0,0,0.18,180,20
166,0,0.0560225152,0.938541667916666,1.465840804,6.50396531321429,0,0,0.18,180,21
167,0,0.09335127401,0.811708333333333,1.404861278,6.19534520928572,0.64000000000000012,0,0.1,100,22
168,0,0.0560225152,0.694916666666667,1.367576966,6.34125730721429,0.64000000000000012,0,0.1,100,23
169,0,0.1409909184,0.5495000025,1.487609868,6.57838069235714,0.64000000000000012,0,0.1,100,0
170,0,0,0.450375,1.462580068,6.8682789695,0.64000000000000012,0,0.1,100,1
171,0,0.8,0.393333333333333,1.35212736,5.99147188371429,0.64000000000000012,0,0.1,100,2
172,0,0.8,0.380625,1.365492022,6.066934125,0.64000000000000012,0,0.1,100,3
173,0,0.603575805,0.415833333333334,1.313656026,5.226368721,0.64000000000000012,0,0.1,100,4
174,0.02965866244,0.7432086672,0.385,1.21943298,5.03927368014286,0.64000000000000012,0,0.1,100,5
175,0.1170272592,0.272232564,0.491500000416666,1.248259908,5.57018495421429,0.64000000000000012,0,0.1,100,6
176,0.1886072391,0.4598068526,0.674708333333333,1.35871112,6.45168176521429,0,0,0.3,300,7
177,0.4422533988,0.3583494154,0.859916666666667,1.35264221,5.83050333335714,0,0,0.3,300,8
178,0.6178185196,0.1409909184,0.561541666666666,1.42851491,6.43973622957143,0,0.41142857142857142,0.18,180,9
179,0.7867339626,0.2001988733,0.731541664166667,1.346501534,7.07826408221429,0,0.41142857142857142,0.18,180,10
180,0.8162618272,0.09335127401,0.632875000416666,1.226570522,5.47801450392857,0,0.41142857142857142,0.18,180,11
181,0.8348993883,0.09335127401,0.724333333333333,1.236100236,5.86383551457143,0,0.41142857142857142,0.18,180,12
182,0.8171454292,0.09335127401,0.7627916675,1.475138478,6.16994866328571,0,0.41142857142857142,0.18,180,13
183,0.5678919829,0.0560225152,0.571708333333334,1.33221144,6.08082279142857,0,0.41142857142857142,0.18,180,14
184,0.3141490386,0.0560225152,0.699875,1.342861118,6.20177827378571,0,0.41142857142857142,0.18,180,15
185,0.1933670597,0.02306791905,0.653833329583333,1.389827738,6.16508485,0,0,0.3,300,16
186,0.1722190453,0.0560225152,0.62987499875,1.265864672,5.66586776757143,0,0,0.3,300,17
187,0.06231386412,0,0.798708335833333,1.29530671,5.982468685,0,0,0.3,300,18
188,0.01075511355,0,1.01708333833333,1.22842327,5.43260937007143,0,0,0.3,300,19
189,0,0,0.8379583325,1.08336192,6.08445131642857,0,0,0.18,180,20
190,0,0,0.861125,1.157207304,5.25832340389286,0,0,0.18,180,21
191,0,0,0.8845,1.117913828,5.00140594171429,0.64000000000000012,0,0.1,100,22
192,0,0,0.773458334583333,1.025077014,4.58070659785714,0.64000000000000012,0,0.1,100,23
193,0,0,0.673166665833333,0.954179338,3.33584581710714,0.64000000000000012,0,0.1,100,0
194,0,0,0.614416666666667,1.058803326,3.56668829896429,0.64000000000000012,0,0.1,100,1
195,0,0,0.4975,0.894046344,3.22831886007143,0.64000000000000012,0,0.1,100,2
196,0,0,0.478833333333334,0.871479838,2.96345445735714,0.64000000000000012,0,0.1,100,3
197,0,0,0.487791665833334,0.867222602,2.99693919007143,0.64000000000000012,0,0.1,100,4
198,0.02302888899,0,0.413458332083334,0.846382594,3.01126163767857,0.64000000000000012,0,0.1,100,5
199,0.08622693937,0.02306791905,0.510125,0.786164294,3.02573204403571,0.64000000000000012,0,0.1,100,6
200,0.2617087819,0.1409909184,0.656541668333334,0.842944434,3.08898768832143,0,0,0.3,300,7
201,0.4165425511,0.09335127401,1.0322499975,0.845452988,2.80184074913929,0,0,0.3,300,8
202,0.5415019887,0.2001988733,0.81575,0.910802494,3.22909701657143,0,0.41142857142857142,0.18,180,9
203,0.7085273773,0.2001988733,0.73362500125,0.8674602,3.33044065435714,0,0.41142857142857142,0.18,180,10
204,0.6819951219,0.272232564,0.663666666666667,0.787192304,2.88058141953571,0,0.41142857142857142,0.18,180,11
205,0.6356886198,0.3583494154,0.665208333333334,0.756994256,3.20313214460714,0,0.41142857142857142,0.18,180,12
206,0.8148186128,0.4598068526,0.7257083325,0.66626466,3.35717503071429,0,0.41142857142857142,0.18,180,13
207,0.5302070281,0.603575805,0.626083333333334,0.731197828,2.65758711303571,0,0.41142857142857142,0.18,180,14
208,0.4285394091,0.603575805,0.817708335833334,0.750486058,2.18736530907143,0,0.41142857142857142,0.18,180,15
209,0.3768376027,0.603575805,0.653375000416666,0.791193202,1.81552198471429,0,0,0.3,300,16
210,0.1598891695,0.4598068526,0.664250000833333,0.63146369,1.38391215846429,0,0,0.3,300,17
211,0.05999044887,0.3583494154,0.775708333333333,0.64133787,1.58669092142857,0,0,0.3,300,18
212,0.01458691944,0.272232564,1.03975,0.64578872,1.64041751507143,0,0,0.3,300,19
213,0,0.2001988733,0.934208333333334,0.718430688,1.23966260896429,0,0,0.18,180,20
214,0,0.09335127401,0.91837499875,0.638997094,1.03310762611857,0,0,0.18,180,21
215,0,0.09335127401,0.932624998333334,0.637841052,0.648917448327143,0.64000000000000012,0,0.1,100,22
216,0,0.0560225152,0.840958333333334,0.578297896,1.02182155384714,0.64000000000000012,0,0.1,100,23
217,0,0.0560225152,0.6545,0.5632697,0.837385026352857,0.64000000000000012,0,0.1,100,0
218,0,0.02306791905,0.532000001666666,0.584719222,0.76535319419,0.64000000000000012,0,0.1,100,1
219,0,0.02306791905,0.498166666666666,0.583038986,0.953533219924286,0.64000000000000012,0,0.1,100,2
220,0,0.0560225152,0.51483333375,0.480562544,0.662965939749,0.64000000000000012,0,0.1,100,3
221,0,0.0560225152,0.5150416675,0.59575841,1.2602862713,0.64000000000000012,0,0.1,100,4
222,0.02092123129,0.0560225152,0.476833332083333,0.61750197,0.697611304467143,0.64000000000000012,0,0.1,100,5
223,0.06736589053,0.0560225152,0.477875,0.800785566,3.11280857178571,0.64000000000000012,0,0.1,100,6
224,0.1901316589,0.09335127401,0.623166667916667,0.789083332,3.30226575414286,0,0,0.3,300,7
225,0.2751579578,0.0560225152,0.69825000125,0.79972423,3.59166692735714,0,0,0.3,300,8
226,0.2619037043,0.0560225152,0.834291667083333,0.820761446,3.56325908335714,0,0.41142857142857142,0.18,180,9
227,0.3230152896,0.0560225152,0.726208333333334,0.897950786,4.02954695735714,0,0.41142857142857142,0.18,180,10
228,0.6163493531,0.0560225152,0.862625,0.849323146,4.18352438342857,0,0.41142857142857142,0.18,180,11
229,0.6339196477,0.1409909184,0.718125,0.89495454,4.19588970128571,0,0.41142857142857142,0.18,180,12
230,0.7752656505,0.2001988733,0.903291666666667,1.227656794,4.90120975928571,0,0.41142857142857142,0.18,180,13
231,0.7121057406,0.2001988733,0.746791666666666,1.032462816,4.5962675905,0,0.41142857142857142,0.18,180,14
232,0.5740514709,0.2001988733,0.617124999166666,1.260973994,5.52236402592857,0,0.41142857142857142,0.18,180,15
233,0.4006485548,0.2001988733,0.760208333333334,1.319128716,5.35100254278571,0,0,0.3,300,16
234,0.2009679418,0.272232564,0.781500000833333,1.085430202,5.20813730835714,0,0,0.3,300,17
235,0.06669704286,0.2001988733,0.777166668333333,1.265396586,5.06596379614286,0,0,0.3,300,18
236,0.02764531696,0.09335127401,0.872625,1.263963048,5.15867662985714,0,0,0.3,300,19
237,0,0.02306791905,1.07570833583333,1.276826156,5.48801226392857,0,0,0.18,180,20
238,0,0.02306791905,0.951833333333333,1.443364306,5.32919909635714,0,0,0.18,180,21
239,0,0.003996972205,0.84662500125,1.534608896,6.08272962642857,0.64000000000000012,0,0.1,100,22
240,0,0.003996972205,0.712125,1.551349118,6.10355418671429,0.64000000000000012,0,0.1,100,23
241,0,0.003996972205,0.79845833375,1.490655028,4.06816743942786,0.64000000000000012,0,0.1,100,0
242,0,0,0.672916666666667,1.37719556,4.11340330442857,0.64000000000000012,0,0.1,100,1
243,0,0,0.484916665416667,1.198664914,3.0219725965,0.64000000000000012,0,0.1,100,2
244,0,0,0.586083333333334,1.253298086,3.44448581821429,0.64000000000000012,0,0.1,100,3
245,0,0,0.454916666666666,1.52868031,3.24554350842857,0.64000000000000012,0,0.1,100,4
246,0.02670331975,0,0.502375,1.251471646,4.12435944771429,0.64000000000000012,0,0.1,100,5
247,0.1070364928,0,0.4979166675,1.399632666,4.74445631278571,0.64000000000000012,0,0.1,100,6
248,0.279550671,0,0.572416666666666,1.531347566,5.71730905885714,0,0,0.3,300,7
249,0.4176556583,0,0.67225,1.444169024,6.31198999614286,0,0,0.3,300,8
250,0.4968197856,0,0.69754166625,1.438595588,5.83323723142857,0,0.41142857142857142,0.18,180,9
251,0.7079812493,0.0560225152,0.771333335833333,1.453775016,7.01382644171429,0,0.41142857142857142,0.18,180,10
252,0.8009124253,0.0560225152,0.613541666666667,1.385874328,6.46259025914286,0,0.41142857142857142,0.18,180,11
253,0.8063038415,0.09335127401,0.781166666666666,1.289612782,6.13883910007143,0,0.41142857142857142,0.18,180,12
254,0.7455935493,0.272232564,0.9497083325,1.400518062,6.18646496914286,0,0.41142857142857142,0.18,180,13
255,0.4465634443,0.2001988733,0.749125,1.315752252,6.07333298414286,0,0.41142857142857142,0.18,180,14
256,0.4050534076,0.272232564,0.815374999166667,1.406179638,6.16212754828571,0,0.41142857142857142,0.18,180,15
257,0.3388357608,0.3583494154,0.892375,1.482569014,6.46774181078571,0,0,0.3,300,16
258,0.2051373818,0.4598068526,0.94675,1.172318218,6.50336751585714,0,0,0.3,300,17
259,0.05167711204,0.3583494154,0.72495833625,1.084060292,5.82393740307143,0,0,0.3,300,18
260,0.02381508366,0.272232564,0.846791668333333,1.24753173,5.80861311371429,0,0,0.3,300,19
261,0,0.09335127401,0.907416666666666,1.229681754,5.968291137,0,0,0.18,180,20
262,0,0.02306791905,0.995416670416667,1.443591894,6.78412738735714,0,0,0.18,180,21
263,0,0.0560225152,0.922666666666666,1.394352144,6.04229182942857,0.64000000000000012,0,0.1,100,22
264,0,0.09335127401,0.808666667916667,1.431407558,6.80797425114286,0.64000000000000012,0,0.1,100,23
265,0,0.1409909184,0.667083333333333,1.324583612,5.3646783815,0.64000000000000012,0,0.1,100,0
266,0,0.0560225152,0.62695833375,1.281507276,6.79988163921429,0.64000000000000012,0,0.1,100,1
267,0,0.02306791905,0.48825,1.27962225,5.70761286914286,0.64000000000000012,0,0.1,100,2
268,0,0.0560225152,0.469041667083333,1.335078218,5.8589799395,0.64000000000000012,0,0.1,100,3
269,0,0.003996972205,0.460374999583333,1.228109488,5.29386044607143,0.64000000000000012,0,0.1,100,4
270,0.01287353822,0.003996972205,0.478666666666667,1.162442528,5.43377730914286,0.64000000000000012,0,0.1,100,5
271,0.05022818571,0.003996972205,0.50183333375,1.466421686,6.19017573207143,0.64000000000000012,0,0.1,100,6
